label,#,URL,filepath,title,authors_attributed,num_characters,num_words,date,google_sentiment_score,google_sentiment_magnitude,msft_sentiment_score
0,485,http://www.fox13news.com/news/politics/211159370-story,./credible/r_633_InFloridaTrumppaints.txt,In Florida Trump paints election as apocalyptic choice,0,4352,704,9/18/2015,0,13.3,0
0,47,http://www.fox10phoenix.com/politics/214578500-story,./credible/r_653_Gunsalessurginginele.txt,Gun sales surging in election year,0,1323,214,12/3/2015,-0.1,3.1,0.939916789532
0,1060,http://www.cnn.com/2016/01/03/politics/hillary-clinton-heckled-over-bill-clinton-sex-scandals/,./credible/r_525_HillaryClintonheckle.txt,Hillary Clinton heckled by NH lawmaker over Bill Clintons sex scandals,1,15411,2522,1/3/2016,0.1,45,0
0,476,http://www.bbc.com/news/world-us-canada-35227399,./credible/r_247_DonaldTrumpsfirstTVa.txt,Donald Trumps first TV ad touts Muslim ban,2,4305,701,1/4/2016,-0.1,8.5,0.999919474125
0,174,http://www.abcnews.go.com/Politics/bill-clinton-brushes-off-donald-trump-attempts-election/story?id=36082154,./credible/r_90_BillClintonBrushesOff.txt,Bill Clinton Brushes Off Donald Trump Saying Attempts to Take the Election Are Nothing New,2,2407,393,1/5/2016,-0.2,4.9,0.760761878279
0,745,http://www.nytimes.com/2016/01/05/us/politics/bill-clinton-the-subdued-spouse-makes-his-campaign-debut.html,./credible/r_759_BillClintontheSubdue.txt,Bill Clinton the Subdued Spouse Makes His Campaign Debut,1,5870,998,1/5/2016,0,16.5,0.0237663965672
0,591,http://www.nytimes.com/2016/01/06/upshot/why-the-government-owns-so-much-land-in-the-west.html,./credible/r_765_WhytheGovernmentOwns.txt,Why the Government Owns So Much Land in the West,2,4964,797,1/6/2016,0,15.5,1.0
0,786,http://www.reuters.com/article/us-usa-election-trump-idUSKBN0UM17220160108,./credible/r_1070_Trumplikestosleepin.txt,Trump likes to sleep in his own bed and it may cost him votes,1,6220,1041,1/8/2016,0.2,16.2,0.999992996454
0,188,http://www.reuters.com/article/us-usa-election-clinton-idUSKCN0UP26H20160111,./credible/r_1050_Clintonseekssurchar.txt,Clinton seeks surcharge tax on wealthiest tier of Americans,1,2509,403,1/11/2016,0,4.7,0.999451398849
0,393,http://www.washingtonpost.com/news/post-politics/wp/2016/01/11/clinton-in-iowa-attacks-sanders-health-care-plan-as-a-risky-deal/,./credible/r_864_ClintoninIowaattacks.txt,Clinton in Iowa attacks Sanders health-care plan as a ‘risky deal’,5,3842,620,1/11/2016,0,9.2,0.999968290329
0,256,http://www.cbsnews.com/news/chelsea-clinton-goes-on-the-attack-after-bernie-sanders/,./credible/r_423_ChelseaClintongoeson.txt,Chelsea Clinton goes on the attack after Bernie Sanders,1,2922,476,1/12/2016,-0.1,6.3,0.00329034077004
